Format:
Edge; Number of graphs this edge appears in
NumberOfChanges -> pre; 4
TimeLastBurst -> TimeMaxBurst; 4
MaxPeopleInBurst -> TimeFirstBurst; 4
TotalBurstSizeEarly -> NumberCodeBurstsLate; 4
TotalBurstSizeEarly -> MaximumCodeBurstEarly; 4
TotalBurstSizeEarly -> TimeFirstBurst; 4
NumberCodeBursts -> MaximumCodeBurst; 4
TotalBurstSizeLate -> TotalBurstSize; 3
NumberCodeBurstsLate -> TotalBurstSizeEarly; 3
NumberCodeBurstsLate -> TotalBurstSize; 3
NumberConsecutiveChangesLate -> NumberOfConsecutiveChangesEarly; 3
TotalBurstSizeEarly -> NumberOfConsecutiveChangesEarly; 3
TotalBurstSize -> TotalPeopleInBurst; 3
TimeLastBurst -> TotalBurstSizeLate; 3
TotalPeopleInBurst -> MaxPeopleInBurst; 3
TimeLastBurst -> MaximumCodeBurstEarly; 3
TotalPeopleInBurst -> NumberCodeBursts; 3
NumberCodeBurstsEarly -> TotalBurstSize; 3
TimeFirstBurst -> TimeLastBurst; 3
TotalBurstSizeEarly -> TotalBurstSizeLate; 3
TotalBurstSizeEarly -> TotalBurstSize; 3
NumberCodeBurstsEarly -> NumberCodeBursts; 3
TotalBurstSizeEarly -> NumberCodeBursts; 3
NumberCodeBursts -> TotalPeopleInBurst; 3
MaxPeopleInBurst -> TotalPeopleInBurst; 2
MaxPeopleInBurst -> NumberCodeBurstsEarly; 2
NumberCodeBurstsLate -> MaximumCodeBurst; 2
MaximumCodeBurstEarly -> TotalBurstSizeLate; 2
TimeFirstBurst -> TotalBurstSizeLate; 2
TimeFirstBurst -> TotalBurstSizeEarly; 2
TotalBurstSize -> NumberCodeBurstsEarly; 2
TotalBurstSize -> TotalBurstSizeEarly; 2
NumberCodeBurstsLate -> TotalPeopleInBurst; 2
TimeFirstBurst -> NumberCodeBurstsEarly; 2
NumberCodeBurstsEarly -> MaximumCodeBurst; 2
TotalBurstSizeEarly -> MaximumCodeBurst; 2
TotalBurstSize -> TotalBurstSizeLate; 2
TotalBurstSize -> NumberCodeBurstsLate; 2
MaxPeopleInBurst -> MaximumCodeBurst; 2
NumberCodeBurstsEarly -> TotalBurstSizeLate; 2
NumberConsecutiveChangesLate -> NumberOfDefects; 2
TotalBurstSizeEarly -> NumberOfDefects; 2
NumberCodeBurstsLate -> NumberCodeBursts; 2
NumberCodeBurstsEarly -> NumberCodeBurstsLate; 2
NumberCodeBurstsEarly -> TimeFirstBurst; 2
TimeFirstBurst -> MaximumCodeBurstEarly; 2
TotalBurstSize -> TimeFirstBurst; 2
NumberCodeBursts -> TimeFirstBurst; 2
NumberCodeBursts -> TimeMaxBurst; 2
TotalBurstSizeLate -> MaximumCodeBurst; 1
TimeLastBurst -> MaximumCodeBurst; 1
MaxPeopleInBurst -> TotalBurstSizeEarly; 1
TotalBurstSizeLate -> TotalPeopleInBurst; 1
NumberCodeBurstsLate -> NumberCodeBurstsEarly; 1
TotalBurstSize -> TimeMaxBurst; 1
TotalBurstSize -> TimeLastBurst; 1
TimeMaxBurst -> MaximumCodeBurstEarly; 1
NumberCodeBursts -> NumberCodeBurstsEarly; 1
NumberCodeBursts -> TotalBurstSizeEarly; 1
NumberCodeBursts -> TimeLastBurst; 1
NumberCodeBurstsLate -> TimeMaxBurst; 1
NumberCodeBursts -> TotalBurstSizeLate; 1
NumberCodeBursts -> NumberCodeBurstsLate; 1
TotalBurstSizeLate -> MaxPeopleInBurst; 1
NumberCodeBurstsLate -> MaxPeopleInBurst; 1
TimeLastBurst -> TotalBurstSize; 1
TotalBurstSizeLate -> TotalBurstSizeEarly; 1
MaximumCodeBurst -> TotalBurstSizeLate; 1
MaximumCodeBurst -> NumberCodeBurstsLate; 1
MaximumCodeBurstEarly -> NumberCodeBurstsEarly; 1
MaximumCodeBurstEarly -> TotalBurstSizeEarly; 1
TimeMaxBurst -> TotalBurstSizeLate; 1
TimeLastBurst -> NumberCodeBursts; 1
