Format:
Edge; Number of graphs this edge appears in
NumberConsecutiveChanges -> NumberConsecutiveChangesLate; 4
NumberOfChangesLate -> GapSize; 4
ChurnTotal -> NumberOfDefects; 4
MaximumCodeBurst -> MaxPeopleInBurst; 4
TotalPeopleInBurst -> NumberCodeBursts; 4
NumberCodeBurstsLate -> TimeMaxBurst; 4
TotalBurstSizeEarly -> NumberCodeBurstsLate; 4
TotalBurstSizeEarly -> TimeMaxBurst; 4
TimeMaxBurst -> TotalChurnInBurst; 4
TimeMaxBurst -> NumberConsecutiveChanges; 4
BurstSize -> NumberOfConsecutiveChangesEarly; 4
BurstSize -> NumberConsecutiveChangesLate; 4
NumberOfChangesLate -> NumberOfChangesEarly; 4
PeopleTotal -> NumberOfDefects; 4
TLOC -> NumberOfDefects; 4
TotalPeopleInBurst -> MaximumCodeBurst; 3
NumberOfChangesLate -> NumberCodeBurstsLate; 3
MaximumCodeBurst -> NumberCodeBursts; 3
NumberOfConsecutiveChangesEarly -> TimeMaxBurst; 3
NumberConsecutiveChangesLate -> NumberCodeBurstsLate; 3
NumberConsecutiveChangesLate -> TimeLastBurst; 3
PeopleTotal -> TimeFirstBurst; 3
BurstSize -> NumberCodeBurstsLate; 3
NumberOfChangesEarly -> TimeFirstBurst; 3
NumberCodeBursts -> TotalPeopleInBurst; 3
NumberCodeBursts -> MaxPeopleInBurst; 3
NumberCodeBurstsEarly -> NumberCodeBurstsLate; 3
TotalBurstSizeEarly -> BurstSize; 3
BurstSize -> MaxChurnInBurst; 3
NumberCodeBurstsLate -> MaxPeopleInBurst; 3
TimeFirstBurst -> TimeMaxBurst; 3
GapSize -> NumberOfChangesEarly; 3
MaxPeopleInBurst -> TotalBurstSizeLate; 2
MaximumCodeBurst -> TotalBurstSizeLate; 2
TotalBurstSize -> NumberCodeBursts; 2
TimeMaxBurst -> TotalPeopleInBurst; 2
NumberConsecutiveChanges -> NumberOfDefects; 2
BurstSize -> NumberCodeBurstsEarly; 2
NumberCodeBurstsLate -> TotalBurstSizeEarly; 2
NumberOfChangesEarly -> NumberCodeBurstsEarly; 2
NumberCodeBurstsEarly -> MaximumCodeBurst; 2
MaximumCodeBurst -> TotalPeopleInBurst; 2
TotalBurstSizeEarly -> MaximumCodeBurst; 2
NumberConsecutiveChanges -> GapSize; 2
BurstSize -> TimeFirstBurst; 2
NumberCodeBurstsEarly -> TotalBurstSize; 2
TotalBurstSizeEarly -> TotalBurstSize; 2
NumberConsecutiveChanges -> MaxChurnInBurst; 2
MaximumCodeBurstEarly -> BurstSize; 2
NumberCodeBurstsEarly -> MaximumCodeBurstEarly; 2
TimeFirstBurst -> NumberConsecutiveChanges; 2
TimeFirstBurst -> TimeLastBurst; 2
TimeFirstBurst -> BurstSize; 2
NumberOfConsecutiveChangesEarly -> NumberOfChangesLate; 2
TotalBurstSizeEarly -> TimeFirstBurst; 2
TimeLastBurst -> TimeMaxBurst; 2
TimeLastBurst -> NumberConsecutiveChanges; 2
BurstSize -> NumberConsecutiveChanges; 2
NumberOfChangesLate -> NumberOfConsecutiveChangesEarly; 2
NumberOfChangesLate -> NumberConsecutiveChangesLate; 2
NumberOfChangesLate -> NumberConsecutiveChanges; 2
NumberOfChangesLate -> BurstSize; 2
NumberOfChangesEarly -> TLOC; 2
NumberOfConsecutiveChangesEarly -> TimeFirstBurst; 2
NumberConsecutiveChangesLate -> NumberOfChangesEarly; 2
NumberConsecutiveChangesLate -> NumberOfConsecutiveChangesEarly; 2
NumberConsecutiveChangesLate -> BurstSize; 2
TimeLastBurst -> NumberCodeBursts; 2
MaxPeopleInBurst -> NumberCodeBurstsLate; 2
TotalBurstSizeLate -> MaxChurnInBurst; 2
NumberCodeBursts -> NumberCodeBurstsLate; 2
MaximumCodeBurst -> NumberCodeBurstsLate; 2
NumberOfConsecutiveChangesEarly -> NumberCodeBurstsEarly; 1
TimeMaxBurst -> NumberCodeBurstsEarly; 1
TimeMaxBurst -> MaximumCodeBurst; 1
TimeMaxBurst -> TotalBurstSizeEarly; 1
TotalBurstSizeLate -> TotalBurstSizeEarly; 1
NumberCodeBurstsLate -> MaximumCodeBurst; 1
NumberOfChangesEarly -> NumberConsecutiveChangesLate; 1
NumberConsecutiveChanges -> NumberOfChangesLate; 1
NumberConsecutiveChanges -> NumberOfChangesEarly; 1
NumberConsecutiveChanges -> NumberCodeBurstsEarly; 1
NumberCodeBursts -> TimeMaxBurst; 1
NumberConsecutiveChangesLate -> pre; 1
TotalBurstSize -> TotalBurstSizeLate; 1
TotalBurstSize -> NumberCodeBurstsLate; 1
NumberCodeBurstsLate -> NumberOfChangesLate; 1
NumberCodeBurstsLate -> MaximumCodeBurstEarly; 1
NumberCodeBurstsLate -> TimeFirstBurst; 1
TimeFirstBurst -> MaximumCodeBurstEarly; 1
NumberCodeBursts -> TimeFirstBurst; 1
TotalPeopleInBurst -> NumberCodeBurstsEarly; 1
MaxPeopleInBurst -> NumberCodeBurstsEarly; 1
TotalBurstSizeLate -> TotalPeopleInBurst; 1
TotalBurstSizeLate -> MaxPeopleInBurst; 1
NumberCodeBurstsLate -> TotalPeopleInBurst; 1
NumberOfChangesEarly -> NumberCodeBurstsLate; 1
NumberOfChangesEarly -> TotalBurstSizeEarly; 1
TimeFirstBurst -> TotalBurstSizeEarly; 1
TimeLastBurst -> MaxPeopleInBurst; 1
TotalBurstSizeLate -> NumberOfChangesLate; 1
TotalBurstSizeLate -> TimeMaxBurst; 1
TotalBurstSizeLate -> TimeLastBurst; 1
TotalBurstSizeLate -> BurstSize; 1
MaximumCodeBurstEarly -> TotalBurstSizeLate; 1
TimeFirstBurst -> TotalBurstSizeLate; 1
TotalBurstSizeEarly -> MaximumCodeBurstEarly; 1
TimeLastBurst -> TotalPeopleInBurst; 1
NumberCodeBurstsLate -> NumberConsecutiveChangesLate; 1
NumberCodeBurstsEarly -> TotalBurstSizeLate; 1
TotalBurstSize -> TotalPeopleInBurst; 1
TotalBurstSize -> MaxPeopleInBurst; 1
TimeMaxBurst -> NumberCodeBurstsLate; 1
TimeMaxBurst -> NumberCodeBursts; 1
BurstSize -> TotalBurstSizeEarly; 1
MaximumCodeBurstLate -> TotalPeopleInBurst; 1
MaximumCodeBurstLate -> MaxPeopleInBurst; 1
MaximumCodeBurstLate -> BurstSize; 1
MaxPeopleInBurst -> TimeFirstBurst; 1
TotalBurstSizeLate -> NumberCodeBurstsEarly; 1
NumberOfChangesLate -> TotalBurstSizeLate; 1
NumberOfChangesEarly -> NumberOfConsecutiveChangesEarly; 1
MaximumCodeBurstEarly -> TimeMaxBurst; 1
TimeFirstBurst -> NumberCodeBurstsEarly; 1
NumberOfConsecutiveChangesEarly -> MaximumCodeBurst; 1
NumberConsecutiveChangesLate -> TotalBurstSizeLate; 1
NumberConsecutiveChangesLate -> TimeFirstBurst; 1
NumberConsecutiveChangesLate -> MaximumCodeBurst; 1
TotalBurstSize -> TotalBurstSizeEarly; 1
NumberCodeBursts -> TotalBurstSizeEarly; 1
GapSize -> MaximumCodeBurstLate; 1
GapSize -> NumberOfConsecutiveChangesEarly; 1
GapSize -> NumberConsecutiveChangesLate; 1
BurstSize -> TotalBurstSizeLate; 1
BurstSize -> MaximumCodeBurst; 1
BurstSize -> TimeLastBurst; 1
NumberCodeBursts -> TotalBurstSizeLate; 1
TimeFirstBurst -> MaxChurnInBurst; 1
