Format:
Edge; Number of graphs this edge appears in
NumberOfChangesLate -> NumberOfChangesEarly; 5
NumberCodeBurstsLate -> TotalBurstSizeLate; 4
NumberCodeBurstsEarly -> NumberCodeBursts; 4
TotalBurstSizeEarly -> NumberCodeBurstsEarly; 4
TotalBurstSizeEarly -> NumberCodeBursts; 4
NumberCodeBursts -> TotalPeopleInBurst; 4
NumberCodeBursts -> NumberOfChangesEarly; 4
NumberCodeBursts -> MaximumCodeBurst; 4
MaxPeopleInBurst -> TotalBurstSize; 4
MaximumCodeBurst -> TotalBurstSize; 4
TotalPeopleInBurst -> TotalBurstSize; 3
MaxPeopleInBurst -> TotalPeopleInBurst; 3
NumberCodeBurstsLate -> MaxPeopleInBurst; 3
TotalPeopleInBurst -> MaximumCodeBurst; 3
NumberCodeBurstsLate -> TotalBurstSize; 3
NumberOfChangesLate -> NumberConsecutiveChangesLate; 3
NumberCodeBurstsEarly -> TotalPeopleInBurst; 3
NumberCodeBurstsEarly -> MaxPeopleInBurst; 3
NumberCodeBurstsEarly -> NumberCodeBurstsLate; 3
TimeLastBurst -> NumberOfConsecutiveChangesEarly; 2
NumberCodeBursts -> TotalBurstSize; 2
NumberCodeBurstsLate -> MaximumCodeBurst; 2
NumberCodeBurstsLate -> TotalBurstSizeEarly; 2
MaximumCodeBurstEarly -> NumberCodeBurstsLate; 2
MaximumCodeBurstEarly -> TotalChurnInBurst; 2
MaximumCodeBurstEarly -> TimeLastBurst; 2
TimeFirstBurst -> NumberCodeBurstsLate; 2
MaximumCodeBurst -> MaxPeopleInBurst; 2
TimeMaxBurst -> MaximumCodeBurstEarly; 2
TimeLastBurst -> NumberCodeBurstsLate; 2
TotalPeopleInBurst -> MaxPeopleInBurst; 2
NumberCodeBurstsLate -> NumberCodeBurstsEarly; 2
TotalBurstSizeEarly -> TotalPeopleInBurst; 2
TimeLastBurst -> NumberOfChangesLate; 2
TotalBurstSizeEarly -> MaxPeopleInBurst; 2
TotalBurstSizeLate -> MaximumCodeBurstEarly; 2
TotalBurstSizeLate -> TimeLastBurst; 2
TimeFirstBurst -> TotalBurstSizeLate; 2
TotalBurstSizeEarly -> TimeMaxBurst; 2
TotalBurstSizeEarly -> TimeLastBurst; 2
NumberCodeBurstsLate -> NumberCodeBursts; 1
NumberOfChanges -> ChurnTotal; 1
TotalBurstSizeLate -> MaxPeopleInBurst; 1
TotalBurstSizeLate -> MaximumCodeBurst; 1
TimeFirstBurst -> TotalBurstSizeEarly; 1
ChurnTotal -> TotalChurnInBurst; 1
MaximumCodeBurst -> NumberCodeBurstsEarly; 1
NumberOfConsecutiveChangesEarly -> ChurnTotal; 1
NumberConsecutiveChangesLate -> ChurnTotal; 1
TotalBurstSizeEarly -> pre; 1
TotalBurstSize -> NumberCodeBurstsEarly; 1
TotalBurstSize -> TotalBurstSizeEarly; 1
NumberConsecutiveChanges -> pre; 1
TimeLastBurst -> MaximumCodeBurst; 1
MaximumCodeBurstEarly -> NumberCodeBurstsEarly; 1
MaximumCodeBurstEarly -> TotalBurstSizeEarly; 1
TimeFirstBurst -> NumberCodeBurstsEarly; 1
NumberOfChanges -> NumberOfChangesLate; 1
NumberOfChanges -> NumberOfChangesEarly; 1
NumberOfChanges -> TotalBurstSizeEarly; 1
NumberOfChangesLate -> NumberCodeBurstsLate; 1
NumberOfChangesLate -> NumberCodeBurstsEarly; 1
NumberOfChangesLate -> NumberOfConsecutiveChangesEarly; 1
NumberOfChangesLate -> TimeMaxBurst; 1
NumberOfChangesEarly -> NumberCodeBurstsLate; 1
NumberOfChangesEarly -> NumberCodeBurstsEarly; 1
NumberOfChangesEarly -> NumberOfConsecutiveChangesEarly; 1
NumberOfConsecutiveChangesEarly -> NumberCodeBurstsEarly; 1
NumberOfConsecutiveChangesEarly -> TimeFirstBurst; 1
NumberOfConsecutiveChangesEarly -> TimeLastBurst; 1
TotalBurstSize -> TimeFirstBurst; 1
TotalBurstSizeLate -> NumberCodeBurstsEarly; 1
NumberCodeBurstsLate -> TotalChurnInBurst; 1
TotalBurstSizeEarly -> TotalChurnInBurst; 1
NumberCodeBursts -> TotalBurstSizeLate; 1
NumberCodeBursts -> NumberCodeBurstsLate; 1
TotalPeopleInBurst -> NumberCodeBurstsLate; 1
TotalPeopleInBurst -> TotalBurstSizeEarly; 1
MaxPeopleInBurst -> TotalBurstSizeLate; 1
MaxPeopleInBurst -> NumberCodeBurstsLate; 1
MaxPeopleInBurst -> TotalBurstSizeEarly; 1
TotalPeopleInBurst -> NumberCodeBursts; 1
NumberCodeBurstsEarly -> MaximumCodeBurst; 1
TotalBurstSizeEarly -> MaximumCodeBurst; 1
