Format:
Edge; Number of graphs this edge appears in
NumberCodeBurstsLate -> NumberCodeBurstsEarly; 4
NumberOfChangesLate -> TotalBurstSizeLate; 4
NumberOfChangesLate -> NumberConsecutiveChangesLate; 4
ChurnTotal -> pre; 4
NumberConsecutiveChangesLate -> TotalBurstSizeLate; 4
NumberOfChangesLate -> NumberOfChangesEarly; 4
NumberConsecutiveChangesLate -> BurstSize; 4
NumberCodeBurstsLate -> TotalChurnInBurst; 4
NumberOfChangesLate -> NumberCodeBurstsLate; 4
NumberConsecutiveChangesLate -> NumberCodeBurstsLate; 4
TotalBurstSizeEarly -> TotalChurnInBurst; 4
BurstSize -> NumberCodeBurstsLate; 4
TotalPeopleInBurst -> MaximumCodeBurst; 3
NumberCodeBurstsLate -> TotalBurstSize; 3
NumberOfChangesLate -> TLOC; 3
MaximumCodeBurst -> NumberCodeBursts; 3
TotalPeopleInBurst -> TotalBurstSize; 3
MaximumCodeBurstEarly -> MaxChurnInBurst; 3
NumberOfConsecutiveChangesEarly -> NumberOfChangesLate; 3
BurstSize -> TotalBurstSizeLate; 3
NumberConsecutiveChanges -> GapSize; 3
NumberCodeBursts -> TotalChurnInBurst; 3
NumberConsecutiveChangesLate -> NumberOfChangesEarly; 3
NumberConsecutiveChangesLate -> NumberOfConsecutiveChangesEarly; 3
NumberCodeBurstsEarly -> TotalBurstSizeEarly; 3
NumberCodeBurstsEarly -> NumberCodeBursts; 3
MaximumCodeBurst -> MaxPeopleInBurst; 3
NumberCodeBursts -> MaxPeopleInBurst; 3
NumberCodeBursts -> TotalBurstSize; 3
NumberCodeBurstsLate -> BurstSize; 2
NumberCodeBurstsEarly -> TotalBurstSizeLate; 2
TotalBurstSizeEarly -> NumberCodeBurstsLate; 2
TotalBurstSizeEarly -> NumberOfChangesEarly; 2
TotalBurstSizeEarly -> NumberOfConsecutiveChangesEarly; 2
TotalPeopleInBurst -> TotalChurnInBurst; 2
NumberCodeBurstsLate -> TotalPeopleInBurst; 2
NumberCodeBurstsLate -> MaxChurnInBurst; 2
TotalChurnInBurst -> TimeLastBurst; 2
MaxPeopleInBurst -> TotalPeopleInBurst; 2
TotalBurstSizeLate -> TotalBurstSizeEarly; 2
MaximumCodeBurst -> TotalPeopleInBurst; 2
MaximumCodeBurst -> TotalBurstSize; 2
MaximumCodeBurst -> BurstSize; 2
NumberOfConsecutiveChangesEarly -> BurstSize; 2
TotalBurstSize -> NumberCodeBurstsLate; 2
NumberConsecutiveChanges -> TotalChurnInBurst; 2
NumberConsecutiveChanges -> NumberConsecutiveChangesLate; 2
NumberCodeBursts -> NumberCodeBurstsLate; 2
NumberCodeBursts -> NumberOfConsecutiveChangesEarly; 2
PeopleTotal -> TLOC; 2
GapSize -> NumberOfChangesEarly; 2
TotalBurstSizeLate -> MaxPeopleInBurst; 2
NumberCodeBurstsLate -> MaxPeopleInBurst; 2
NumberCodeBurstsLate -> TimeMaxBurst; 2
TotalBurstSizeEarly -> TimeMaxBurst; 2
NumberOfChangesLate -> BurstSize; 2
NumberOfChangesEarly -> TotalBurstSizeLate; 2
GapSize -> NumberOfConsecutiveChangesEarly; 2
TotalBurstSizeEarly -> NumberCodeBursts; 2
NumberCodeBursts -> TotalPeopleInBurst; 2
NumberOfChangesEarly -> NumberCodeBurstsEarly; 2
NumberConsecutiveChanges -> NumberCodeBurstsEarly; 2
BurstSize -> NumberCodeBurstsEarly; 2
NumberCodeBurstsLate -> NumberOfChangesEarly; 1
MaxChurnInBurst -> TotalChurnInBurst; 1
ChurnTotal -> MaxChurnInBurst; 1
MaximumCodeBurst -> NumberConsecutiveChangesLate; 1
TotalBurstSizeEarly -> TotalBurstSizeLate; 1
TotalBurstSizeEarly -> NumberConsecutiveChanges; 1
TotalBurstSizeEarly -> BurstSize; 1
NumberCodeBursts -> MaxChurnInBurst; 1
BurstSize -> NumberOfChangesEarly; 1
BurstSize -> NumberOfConsecutiveChangesEarly; 1
BurstSize -> NumberConsecutiveChangesLate; 1
MaxPeopleInBurst -> NumberCodeBurstsEarly; 1
TotalBurstSizeLate -> MaxChurnInBurst; 1
TotalBurstSizeLate -> TimeLastBurst; 1
TimeFirstBurst -> TotalBurstSizeEarly; 1
TotalChurnInBurst -> TotalBurstSizeEarly; 1
NumberOfConsecutiveChangesEarly -> NumberOfChangesEarly; 1
TotalBurstSize -> GapSize; 1
NumberConsecutiveChanges -> NumberOfChangesLate; 1
NumberCodeBursts -> NumberCodeBurstsEarly; 1
NumberCodeBursts -> NumberConsecutiveChangesLate; 1
NumberCodeBursts -> NumberConsecutiveChanges; 1
PeopleTotal -> pre; 1
NumberOfChangesLate -> NumberOfConsecutiveChangesEarly; 1
NumberOfChangesLate -> GapSize; 1
NumberOfChangesEarly -> NumberConsecutiveChangesLate; 1
NumberCodeBurstsEarly -> MaxChurnInBurst; 1
NumberCodeBurstsEarly -> TimeMaxBurst; 1
TotalChurnInBurst -> TotalBurstSizeLate; 1
TimeMaxBurst -> NumberConsecutiveChangesLate; 1
TimeMaxBurst -> NumberConsecutiveChanges; 1
NumberCodeBursts -> NumberOfChangesEarly; 1
NumberCodeBursts -> TimeMaxBurst; 1
TimeFirstBurst -> MaxChurnInBurst; 1
NumberCodeBurstsLate -> MaximumCodeBurst; 1
NumberCodeBurstsLate -> TotalBurstSizeEarly; 1
NumberCodeBurstsEarly -> MaximumCodeBurst; 1
TotalBurstSizeEarly -> MaximumCodeBurst; 1
NumberConsecutiveChanges -> NumberOfChangesEarly; 1
NumberConsecutiveChanges -> NumberOfConsecutiveChangesEarly; 1
TotalPeopleInBurst -> TotalBurstSizeEarly; 1
NumberOfChanges -> NumberOfChangesEarly; 1
TotalBurstSizeLate -> TotalBurstSize; 1
TotalBurstSizeLate -> NumberCodeBursts; 1
NumberCodeBurstsLate -> NumberCodeBursts; 1
MaxChurnInBurst -> TimeLastBurst; 1
NumberConsecutiveChangesLate -> NumberOfChanges; 1
NumberConsecutiveChanges -> NumberOfDefects; 1
NumberCodeBursts -> TotalBurstSizeEarly; 1
NumberOfDefects -> pre; 1
TotalBurstSizeLate -> BurstSize; 1
NumberCodeBurstsEarly -> NumberCodeBurstsLate; 1
