TotalPeopleInBurst MaximumCodeBurstLate NumberOfChanges MaxPeopleInBurst TotalBurstSizeLate NumberCodeBurstsLate NumberOfChangesLate NumberOfChangesEarly MaxChurnInBurst MaximumCodeBurstEarly NumberCodeBurstsEarly TimeFirstBurst TotalChurnInBurst ChurnTotal MaximumCodeBurst NumberOfConsecutiveChangesEarly NumberConsecutiveChangesLate TotalBurstSizeEarly TotalBurstSize TimeMaxBurst NumberConsecutiveChanges TimeLastBurst NumberCodeBursts PeopleTotal pre NumberOfDefects TLOC
0 0 1 0 0 0 1 0 0 0 0 -1 0 9 0 0 0 0 0 -1 0 -1 0 1 0 0 20.0
0 0 5 0 0 0 2 3 0 0 0 -1 0 305 0 1 0 0 0 -1 1 -1 0 3 0 0 54.0
0 0 2 0 0 0 2 0 0 0 0 -1 0 12 0 0 1 0 0 -1 1 -1 0 1 0 0 87.0
1 0 10 1 0 0 3 7 33 0 1 49 33 61 4 0 3 4 4 49 3 49 1 2 2 0 56.0
3 0 5 3 0 0 1 4 36 0 1 30 36 44 3 2 1 3 3 30 3 30 1 3 1 0 12.0
3 0 4 3 4 1 4 0 166 0 0 51 166 166 4 0 3 0 4 51 3 51 1 3 3 0 64.0
2 0 7 2 5 1 5 2 234 0 0 53 234 485 5 1 4 0 5 53 5 53 1 3 6 0 342.0
0 0 1 0 0 0 0 1 0 0 0 -1 0 11 0 0 0 0 0 -1 0 -1 0 1 1 0 88.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 17 0 0 0 0 0 -1 0 -1 0 1 1 0 5.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 15.0
1 0 3 1 3 1 3 0 64 0 0 54 64 64 3 0 2 0 3 54 2 54 1 1 1 0 89.0
3 0 5 3 0 0 1 4 11 0 1 1 11 224 3 2 0 3 3 1 2 1 1 3 1 0 61.0
0 0 5 0 0 0 2 3 0 0 0 -1 0 40 0 0 1 0 0 -1 1 -1 0 2 1 1 85.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 37.0
0 0 4 0 0 0 1 3 0 0 0 -1 0 25 0 1 0 0 0 -1 1 -1 0 2 0 0 96.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 51 0 0 0 0 0 -1 0 -1 0 1 0 0 28.0
3 0 13 3 0 0 9 4 771 0 1 45 771 771 13 3 9 13 13 45 12 45 1 3 9 3 1030.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 7 0 0 0 0 0 -1 0 -1 0 1 0 0 27.0
3 0 11 2 3 1 3 8 45 0 1 1 62 278 3 2 2 3 6 1 4 54 2 7 1 0 60.0
3 0 10 3 3 1 3 7 19 0 0 55 19 111 3 0 2 0 3 55 2 55 1 8 1 0 89.0
2 0 9 2 3 1 3 6 40 0 1 16 62 102 3 3 2 3 6 16 5 53 2 2 0 1 44.0
0 0 2 0 0 0 2 0 0 0 0 -1 0 4 0 0 1 0 0 -1 1 -1 0 2 4 0 304.0
1 0 4 1 0 0 0 4 118 0 1 19 118 118 4 3 0 4 4 19 3 19 1 1 0 0 7.0
0 0 6 0 0 0 1 5 0 0 0 -1 0 27 0 1 0 0 0 -1 1 -1 0 4 2 0 74.0
0 0 1 0 0 0 0 1 0 0 0 -1 0 99 0 0 0 0 0 -1 0 -1 0 2 3 0 45.0
0 0 2 0 0 0 2 0 0 0 0 -1 0 66 0 0 1 0 0 -1 1 -1 0 2 0 0 12.0
0 0 4 0 0 0 2 2 0 0 0 -1 0 56 0 0 0 0 0 -1 0 -1 0 2 0 0 13.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 5 0 1 0 0 0 -1 1 -1 0 2 0 0 6.0
2 0 10 2 0 0 1 9 121 3 2 16 142 295 3 5 0 6 6 16 5 41 2 2 1 1 53.0
0 0 6 0 0 0 1 5 0 0 0 -1 0 21 0 2 0 0 0 -1 2 -1 0 3 0 0 7.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 6 0 0 0 0 0 -1 0 -1 0 2 0 0 21.0
1 0 6 1 0 0 0 6 14 0 1 1 14 41 3 3 0 3 3 1 3 1 1 3 0 0 123.0
4 0 4 4 4 1 4 0 242 0 0 55 242 242 4 0 3 0 4 55 3 55 1 4 0 0 82.0
2 0 8 2 0 0 2 6 107 4 2 38 142 161 4 4 1 7 7 38 5 45 2 2 7 1 56.0
0 0 5 0 0 0 2 3 0 0 0 -1 0 26 0 0 1 0 0 -1 1 -1 0 4 0 0 56.0
3 0 4 3 0 0 0 4 24 0 1 4 24 33 3 2 0 3 3 4 2 4 1 5 0 0 203.0
2 0 5 2 0 0 2 3 57 0 1 49 57 66 3 1 2 3 3 49 3 49 1 3 0 0 173.0
10 0 31 6 0 0 7 24 5831 16 2 22 9829 10182 16 19 7 27 27 38 26 38 2 11 31 19 4183.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 6 0 0 0 0 0 -1 0 -1 0 2 0 0 44.0
0 0 5 0 0 0 1 4 0 0 0 -1 0 29 0 1 0 0 0 -1 1 -1 0 4 0 0 211.0
1 0 7 1 0 0 2 5 347 0 1 46 347 391 3 2 1 3 3 46 3 46 1 4 1 0 122.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 56.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 15 0 1 0 0 0 -1 1 -1 0 2 0 0 69.0
4 0 8 4 0 0 4 4 131 0 1 46 131 308 4 1 3 4 4 46 4 46 1 6 1 0 48.0
3 0 12 3 0 0 6 6 351 8 2 31 650 650 8 4 6 12 12 46 10 46 2 3 2 0 328.0
0 0 6 0 0 0 1 5 0 0 0 -1 0 313 0 1 0 0 0 -1 1 -1 0 4 0 0 13.0
3 0 7 3 5 1 5 2 88 0 0 51 88 281 5 1 4 0 5 51 5 51 1 3 0 0 13.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 2 0 0 5.0
2 0 7 2 0 0 1 6 161 0 1 45 161 191 4 3 0 4 4 45 3 45 1 2 1 0 126.0
0 0 3 0 0 0 1 2 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 0 7.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 5 0 1 0 0 0 -1 1 -1 0 2 0 0 16.0
3 0 15 3 0 0 6 9 673 7 2 23 992 1565 7 5 6 12 12 49 11 49 2 3 0 1 43.0
0 0 3 0 0 0 1 2 0 0 0 -1 0 58 0 0 0 0 0 -1 0 -1 0 3 0 0 12.0
0 0 4 0 0 0 2 2 0 0 0 -1 0 145 0 0 1 0 0 -1 1 -1 0 2 1 0 146.0
0 0 8 0 0 0 2 6 0 0 0 -1 0 69 0 0 1 0 0 -1 1 -1 0 4 0 0 122.0
0 0 7 0 0 0 2 5 0 0 0 -1 0 252 0 2 1 0 0 -1 3 -1 0 2 0 0 58.0
0 0 3 0 0 0 1 2 0 0 0 -1 0 20 0 0 0 0 0 -1 0 -1 0 2 0 0 31.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 14 0 1 0 0 0 -1 1 -1 0 2 0 0 39.0
3 0 12 2 0 0 1 11 248 4 2 1 386 616 4 5 0 7 7 1 5 30 2 3 5 1 138.0
3 0 5 3 5 1 5 0 265 0 0 53 265 265 5 0 4 0 5 53 4 53 1 3 3 1 174.0
0 0 4 0 0 0 2 2 0 0 0 -1 0 65 0 0 0 0 0 -1 0 -1 0 2 0 0 15.0
3 0 14 3 0 0 3 11 67 0 1 24 67 233 3 3 2 3 3 24 5 24 1 8 2 1 158.0
4 0 10 3 0 0 2 8 143 3 2 4 201 274 3 3 2 6 6 4 5 48 2 5 1 0 176.0
6 0 9 3 3 1 5 4 294 0 1 46 390 396 4 1 4 4 7 46 5 58 2 6 0 0 176.0
1 0 4 1 4 1 4 0 127 0 0 50 127 127 4 0 3 0 4 50 3 50 1 1 0 0 62.0
0 0 3 0 0 0 0 3 0 0 0 -1 0 15 0 1 0 0 0 -1 1 -1 0 3 0 0 5.0
0 0 2 0 0 0 2 0 0 0 0 -1 0 13 0 0 0 0 0 -1 0 -1 0 2 1 0 4.0
2 0 7 2 0 0 1 6 40 0 1 25 40 53 3 2 0 3 3 25 2 25 1 4 0 0 300.0
0 0 4 0 0 0 2 2 0 0 0 -1 0 16 0 0 1 0 0 -1 1 -1 0 3 0 0 7.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 15 0 0 0 0 0 -1 0 -1 0 2 0 0 20.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 6 0 0 0 0 0 -1 0 -1 0 2 0 0 3.0
0 0 2 0 0 0 2 0 0 0 0 -1 0 27 0 0 0 0 0 -1 0 -1 0 1 0 0 6.0
0 0 1 0 0 0 0 1 0 0 0 -1 0 11 0 0 0 0 0 -1 0 -1 0 1 1 0 72.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 1 0 20.0
1 0 6 1 3 1 3 3 68 0 0 58 68 172 3 0 2 0 3 58 2 58 1 2 1 0 80.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 7 0 1 0 0 0 -1 1 -1 0 2 0 0 59.0
0 0 4 0 0 0 0 4 0 0 0 -1 0 16 0 1 0 0 0 -1 1 -1 0 2 0 0 166.0
2 0 4 2 3 1 4 0 34 0 0 54 34 34 3 0 2 0 3 54 2 54 1 2 0 0 16.0
0 0 1 0 0 0 0 1 0 0 0 -1 0 51 0 0 0 0 0 -1 0 -1 0 2 0 0 52.0
2 0 6 2 0 0 3 3 14 0 1 39 14 36 3 2 1 3 3 39 3 39 1 2 2 2 53.0
3 0 6 3 0 0 1 5 522 0 1 1 522 1057 4 3 0 4 4 1 3 1 1 3 1 0 162.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 6 0 0 0 0 0 -1 0 -1 0 2 0 0 36.0
0 0 3 0 0 0 3 0 0 0 0 -1 0 18 0 0 1 0 0 -1 1 -1 0 1 0 0 4.0
0 0 2 0 0 0 2 0 0 0 0 -1 0 9 0 0 0 0 0 -1 0 -1 0 2 0 0 42.0
3 0 7 3 0 0 1 6 28 0 1 4 28 46 3 2 1 3 3 4 3 4 1 5 0 0 88.0
1 0 5 1 0 0 1 4 23 0 1 47 23 35 3 2 1 3 3 47 3 47 1 1 5 0 98.0
0 0 7 0 0 0 3 4 0 0 0 -1 0 37 0 1 1 0 0 -1 2 -1 0 5 0 0 83.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 4 0 0 0 0 0 -1 0 -1 0 1 0 0 11.0
0 0 4 0 0 0 2 2 0 0 0 -1 0 93 0 1 1 0 0 -1 2 -1 0 2 0 0 27.0
0 0 4 0 0 0 1 3 0 0 0 -1 0 388 0 1 0 0 0 -1 1 -1 0 1 1 0 17.0
0 0 3 0 0 0 2 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 3 0 0 100.0
0 0 3 0 0 0 0 3 0 0 0 -1 0 17 0 1 0 0 0 -1 1 -1 0 3 0 0 26.0
0 0 3 0 0 0 1 2 0 0 0 -1 0 14 0 0 0 0 0 -1 0 -1 0 2 0 0 9.0
0 0 3 0 0 0 3 0 0 0 0 -1 0 361 0 0 1 0 0 -1 1 -1 0 1 0 0 6.0
3 0 15 3 0 0 7 8 706 10 2 38 1136 1136 10 6 7 15 15 46 13 46 2 3 33 5 1007.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 53.0
2 0 20 2 4 1 4 16 794 5 3 14 1406 11832 5 10 3 11 15 21 13 53 4 2 1 2 5207.0
0 0 2 0 0 0 2 0 0 0 0 -1 0 16 0 0 1 0 0 -1 1 -1 0 1 0 0 357.0
0 0 5 0 0 0 1 4 0 0 0 -1 0 76 0 2 0 0 0 -1 2 -1 0 2 0 0 13.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 1 0 0 0 0 0 -1 0 -1 0 1 0 0 87.0
0 0 5 0 0 0 1 4 0 0 0 -1 0 148 0 2 0 0 0 -1 2 -1 0 2 0 0 40.0
2 0 3 2 3 1 3 0 112 0 0 54 112 112 3 0 2 0 3 54 2 54 1 2 0 0 100.0
0 0 2 0 0 0 2 0 0 0 0 -1 0 74 0 0 0 0 0 -1 0 -1 0 1 0 0 13.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 21.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 0 9.0
3 0 25 3 0 0 10 15 66 0 1 31 66 66 25 14 10 25 25 31 24 31 1 3 0 0 14.0
5 0 9 3 3 1 5 4 729 0 1 46 1425 1437 4 1 4 4 7 46 5 57 2 6 0 0 431.0
0 0 1 0 0 0 0 1 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 16.0
10 0 36 10 0 0 10 26 1461 0 1 12 1461 1497 34 23 10 34 34 12 33 12 1 10 13 7 2065.0
2 0 6 2 3 1 4 2 64 0 0 58 64 144 3 0 2 0 3 58 2 58 1 3 0 0 35.0
0 0 1 0 0 0 0 1 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 55.0
0 0 3 0 0 0 1 2 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 0 77.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 12 0 0 0 0 0 -1 0 -1 0 2 0 0 11.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 16 0 1 0 0 0 -1 1 -1 0 2 0 0 28.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 35 0 0 0 0 0 -1 0 -1 0 1 0 0 33.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 30.0
0 0 3 0 0 0 3 0 0 0 0 -1 0 35 0 0 1 0 0 -1 1 -1 0 2 0 0 30.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 60 0 1 0 0 0 -1 1 -1 0 1 0 0 22.0
0 0 1 0 0 0 0 1 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 26.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 2 0 0 5.0
9 0 29 7 0 0 11 18 887 18 3 4 1042 1068 18 14 11 27 27 39 25 39 3 9 14 2 885.0
3 0 16 3 5 1 5 11 60 0 1 16 89 309 5 6 4 4 9 52 10 52 2 3 0 0 71.0
3 0 11 3 3 1 3 8 112 0 1 39 138 138 8 7 2 8 11 39 9 53 2 3 1 3 185.0
2 0 6 2 0 0 3 3 13 0 1 39 13 50 3 2 1 3 3 39 3 39 1 2 2 2 63.0
0 0 3 0 0 0 0 3 0 0 0 -1 0 29 0 1 0 0 0 -1 1 -1 0 3 0 0 62.0
3 0 13 3 0 0 3 10 242 6 2 34 291 378 6 6 2 9 9 34 8 49 2 4 5 0 114.0
3 0 6 3 5 1 6 0 189 0 0 57 189 189 5 0 4 0 5 57 4 57 1 3 5 3 103.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 1 0 0 0 0 0 -1 0 -1 0 1 0 0 58.0
0 0 4 0 0 0 3 1 0 0 0 -1 0 556 0 0 1 0 0 -1 1 -1 0 1 2 0 199.0
0 0 3 0 0 0 2 1 0 0 0 -1 0 36 0 0 1 0 0 -1 1 -1 0 2 0 0 12.0
2 0 3 2 3 1 3 0 182 0 0 56 182 182 3 0 2 0 3 56 2 56 1 2 2 0 216.0
4 0 14 3 0 0 3 11 1797 5 2 1 2512 2814 5 6 3 9 9 1 9 48 2 5 4 1 552.0
2 0 5 2 0 0 3 2 157 0 1 46 157 164 3 1 2 3 3 46 3 46 1 2 1 0 128.0
0 0 4 0 0 0 2 2 0 0 0 -1 0 19 0 0 0 0 0 -1 0 -1 0 2 0 0 20.0
3 0 5 3 0 0 1 4 540 0 1 1 540 1007 3 2 0 3 3 1 2 1 1 3 1 0 163.0
0 0 5 0 0 0 1 4 0 0 0 -1 0 53 0 0 0 0 0 -1 0 -1 0 4 0 0 194.0
1 0 4 1 0 0 0 4 127 0 1 46 127 127 4 3 0 4 4 46 3 46 1 1 0 0 91.0
0 0 7 0 0 0 2 5 0 0 0 -1 0 183 0 2 1 0 0 -1 3 -1 0 2 0 0 35.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 5 0 1 0 0 0 -1 1 -1 0 2 0 0 3.0
0 0 7 0 0 0 2 5 0 0 0 -1 0 68 0 2 0 0 0 -1 2 -1 0 3 3 0 12.0
1 0 8 1 3 1 3 5 35 0 0 50 35 113 3 1 2 0 3 50 3 50 1 2 1 0 88.0
2 0 10 2 4 1 4 6 61 0 0 53 61 629 4 2 3 0 4 53 5 53 1 3 0 1 131.0
2 0 4 2 3 1 3 1 46 0 0 53 46 107 3 0 2 0 3 53 2 53 1 2 1 0 126.0
0 0 6 0 0 0 2 4 0 0 0 -1 0 72 0 1 0 0 0 -1 1 -1 0 4 3 0 134.0
0 0 3 0 0 0 0 3 0 0 0 -1 0 42 0 1 0 0 0 -1 1 -1 0 2 0 0 39.0
0 0 3 0 0 0 2 1 0 0 0 -1 0 22 0 0 1 0 0 -1 1 -1 0 1 2 0 16.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 21.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 132 0 0 0 0 0 -1 0 -1 0 1 1 0 40.0
1 0 4 1 4 1 4 0 199 0 0 55 199 199 4 0 3 0 4 55 3 55 1 1 0 0 273.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 12.0
3 0 3 3 3 1 3 0 22 0 0 55 22 22 3 0 2 0 3 55 2 55 1 3 0 1 63.0
0 0 3 0 0 0 0 3 0 0 0 -1 0 33 0 1 0 0 0 -1 1 -1 0 3 0 0 8.0
3 0 6 3 0 0 1 5 22 0 1 4 22 80 3 2 0 3 3 4 2 4 1 5 0 0 73.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 5 0 1 0 0 0 -1 1 -1 0 2 0 0 7.0
0 0 1 0 0 0 0 1 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 23.0
0 0 4 0 0 0 3 1 0 0 0 -1 0 107 0 0 1 0 0 -1 1 -1 0 3 3 0 166.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 16 0 0 0 0 0 -1 0 -1 0 1 5 0 57.0
1 0 4 1 0 0 0 4 17 0 1 38 17 19 3 2 0 3 3 38 2 38 1 2 0 0 7.0
0 0 3 0 0 0 1 2 0 0 0 -1 0 15 0 1 0 0 0 -1 1 -1 0 3 0 0 40.0
7 0 16 7 0 0 3 13 478 0 1 21 478 1368 9 9 1 9 9 21 10 21 1 10 1 3 395.0
0 0 2 0 0 0 2 0 0 0 0 -1 0 22 0 0 0 0 0 -1 0 -1 0 1 0 0 8.0
3 0 24 2 0 0 5 19 522 12 4 4 1068 1158 12 13 5 22 22 41 18 41 4 3 11 1 764.0
0 0 3 0 0 0 1 2 0 0 0 -1 0 51 0 1 0 0 0 -1 1 -1 0 3 0 0 64.0
3 0 5 3 0 0 1 4 9 0 1 4 9 37 3 2 0 3 3 4 2 4 1 5 1 0 30.0
5 0 30 3 0 0 7 23 3969 12 3 1 4961 4975 12 19 7 28 28 45 26 45 3 5 7 4 1231.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 14 0 0 0 0 0 -1 0 -1 0 1 0 0 37.0
1 0 5 1 3 1 4 1 17 0 0 53 17 19 3 0 2 0 3 53 2 53 1 1 1 0 219.0
4 0 9 4 0 0 5 4 157 0 1 42 157 157 9 3 5 9 9 42 8 42 1 4 2 1 129.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 84.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 3 0 0 1 0 0 -1 1 -1 0 1 0 0 12.0
0 0 3 0 0 0 3 0 0 0 0 -1 0 40 0 0 1 0 0 -1 1 -1 0 3 0 0 34.0
3 0 5 3 0 0 1 4 16 0 1 1 16 350 3 2 0 3 3 1 2 1 1 3 1 0 68.0
0 0 2 0 0 0 2 0 0 0 0 -1 0 64 0 0 0 0 0 -1 0 -1 0 1 0 0 38.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 12 0 1 0 0 0 -1 1 -1 0 2 0 0 204.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 248.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 77.0
0 0 2 0 0 0 0 2 0 0 0 -1 0 1 0 0 0 0 0 -1 0 -1 0 2 1 0 12.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 6 0 0 1 0 0 -1 1 -1 0 1 0 0 52.0
3 0 8 3 0 0 6 2 196 0 1 46 196 196 8 1 6 8 8 46 7 46 1 3 1 1 138.0
0 0 6 0 0 0 1 5 0 0 0 -1 0 106 0 1 0 0 0 -1 1 -1 0 4 0 0 43.0
2 0 6 2 0 0 3 3 83 0 1 45 83 83 6 2 3 6 6 45 5 45 1 2 0 0 8.0
