TotalPeopleInBurst MaximumCodeBurstLate NumberOfChanges MaxPeopleInBurst TotalBurstSizeLate NumberCodeBurstsLate NumberOfChangesLate NumberOfChangesEarly MaxChurnInBurst MaximumCodeBurstEarly NumberCodeBurstsEarly TimeFirstBurst TotalChurnInBurst ChurnTotal MaximumCodeBurst NumberOfConsecutiveChangesEarly NumberConsecutiveChangesLate TotalBurstSizeEarly TotalBurstSize TimeMaxBurst NumberConsecutiveChanges TimeLastBurst NumberCodeBursts PeopleTotal pre NumberOfDefects TLOC GapSize BurstSize
2 0 10 2 1 1 1 9 131 2 7 6 295 295 2 2 0 9 10 16 2 54 8 2 1 1 53.0 1 1
3 0 6 1 1 1 1 5 8 1 5 3 21 21 1 0 0 5 6 3 0 59 6 3 0 0 7.0 1 1
2 0 2 1 1 1 1 1 6 0 1 31 6 6 1 0 0 1 2 31 0 60 2 2 0 0 21.0 1 1
3 0 6 1 0 0 0 6 18 2 5 1 41 41 2 1 0 6 6 4 1 30 5 3 0 0 123.0 1 1
4 2 4 2 4 3 4 0 234 0 0 55 242 242 2 0 1 0 4 55 1 60 3 4 0 0 82.0 1 1
2 1 8 2 2 2 2 6 107 4 3 38 161 161 4 3 0 6 8 38 3 57 5 2 7 1 56.0 1 1
4 1 5 1 2 2 2 3 13 1 3 2 26 26 1 0 0 3 5 2 0 60 5 4 0 0 56.0 1 1
5 0 4 2 0 0 0 4 23 1 4 4 33 33 1 0 0 4 4 4 0 29 4 5 0 0 203.0 1 1
3 1 5 2 2 2 2 3 36 2 2 44 66 66 2 1 0 3 5 44 1 54 4 3 0 0 173.0 1 1
11 4 31 5 7 4 7 24 5687 8 9 2 10182 10182 8 15 3 24 31 22 18 60 13 11 31 19 4183.0 1 1
2 0 2 1 1 1 1 1 6 0 1 31 6 6 1 0 0 1 2 31 0 60 2 2 0 0 44.0 1 1
4 0 5 2 1 1 1 4 12 2 3 32 29 29 2 1 0 4 5 32 1 60 4 4 0 0 211.0 1 1
4 1 7 2 2 2 2 5 345 2 4 32 391 391 2 1 0 5 7 46 1 60 6 4 1 0 122.0 1 1
1 0 1 1 1 1 1 0 0 0 0 50 0 0 1 0 0 0 1 50 0 50 1 1 0 0 56.0 1 1
2 0 2 2 0 0 0 2 15 0 1 45 15 15 2 1 0 2 2 45 1 45 1 2 0 0 69.0 1 1
6 2 8 3 4 3 4 4 170 1 4 32 308 308 2 0 1 4 8 52 1 60 7 6 1 0 48.0 1 1
3 3 12 3 6 4 6 6 287 2 5 31 650 650 3 1 2 6 12 53 3 60 9 3 2 0 328.0 1 1
4 0 6 1 1 1 1 5 220 1 5 1 313 313 1 0 0 5 6 1 0 55 6 4 0 0 13.0 1 1
3 4 7 3 5 2 5 2 193 1 2 6 281 281 4 0 3 2 7 51 3 57 4 3 0 0 13.0 1 1
2 0 2 1 0 0 0 2 8 1 2 40 8 8 1 0 0 2 2 40 0 44 2 2 0 0 5.0 1 1
2 0 7 2 1 1 1 6 137 2 4 33 191 191 2 2 0 6 7 45 2 57 5 2 1 0 126.0 1 1
2 0 3 1 1 1 1 2 6 1 2 2 10 10 1 0 0 2 3 2 0 60 3 2 0 0 7.0 1 1
2 0 2 1 0 0 0 2 5 1 2 4 5 5 1 0 0 2 2 4 0 6 2 2 0 0 16.0 1 1
3 4 15 3 6 3 6 9 569 3 7 6 1565 1565 4 2 3 9 15 51 5 58 10 3 0 1 43.0 1 1
3 0 3 1 1 1 1 2 52 1 2 30 58 58 1 0 0 2 3 30 0 50 3 3 0 0 12.0 1 1
2 0 4 2 1 1 2 2 125 2 2 41 145 145 2 0 1 3 4 49 1 60 3 2 1 0 146.0 1 1
4 1 8 2 2 2 2 6 18 1 6 21 69 69 1 0 0 6 8 21 0 59 8 4 0 0 122.0 1 1
2 1 7 1 2 2 2 5 156 2 4 6 252 252 2 1 0 5 7 16 1 57 6 2 0 0 58.0 1 1
2 0 3 1 1 1 1 2 11 1 2 30 20 20 1 0 0 2 3 30 0 52 3 2 0 0 31.0 1 1
2 0 2 1 0 0 0 2 14 1 2 4 14 14 1 0 0 2 2 4 0 6 2 2 0 0 39.0 1 1
3 0 12 2 1 1 1 11 248 3 7 1 616 616 3 4 0 11 12 30 4 57 8 3 5 1 138.0 1 1
3 3 5 2 5 3 5 0 261 0 0 53 265 265 3 0 2 0 5 55 2 59 3 3 3 1 174.0 1 1
2 1 4 1 2 2 2 2 58 1 2 32 65 65 1 0 0 2 4 32 0 60 4 2 0 0 15.0 1 1
8 1 14 3 3 3 3 11 79 3 9 2 233 233 3 2 0 11 14 24 2 60 12 8 2 1 158.0 1 1
5 0 10 2 2 1 2 8 110 1 8 4 274 274 2 0 1 8 10 50 1 50 9 5 1 0 176.0 1 1
6 3 9 3 5 3 5 4 294 1 4 32 396 396 3 0 2 4 9 58 2 58 7 6 0 0 176.0 1 1
1 2 4 1 4 3 4 0 95 0 0 50 127 127 2 0 1 0 4 50 1 56 3 1 0 0 62.0 1 1
3 0 3 1 0 0 0 3 10 1 3 4 15 15 1 0 0 3 3 4 0 42 3 3 0 0 5.0 1 1
2 1 2 1 2 2 2 0 13 0 0 52 13 13 1 0 0 0 2 52 0 58 2 2 1 0 4.0 1 1
4 0 7 2 1 1 1 6 32 2 5 2 53 53 2 1 0 6 7 28 1 60 6 4 0 0 300.0 1 1
3 1 4 1 2 2 2 2 6 1 2 2 16 16 1 0 0 2 4 2 0 60 4 3 0 0 7.0 1 1
2 0 2 1 1 1 1 1 15 0 1 44 15 15 1 0 0 1 2 44 0 54 2 2 0 0 20.0 1 1
2 0 2 1 0 0 0 2 6 1 2 40 6 6 1 0 0 2 2 40 0 44 2 2 0 0 3.0 1 1
1 1 2 1 2 2 2 0 27 0 0 54 27 27 1 0 0 0 2 54 0 61 2 1 0 0 6.0 1 1
1 0 1 1 0 0 0 1 11 0 1 42 11 11 1 0 0 1 1 42 0 42 1 1 1 0 72.0 1 1
1 0 1 1 1 1 1 0 0 0 0 58 0 0 1 0 0 0 1 58 0 58 1 1 1 0 20.0 1 1
2 2 6 1 3 2 3 3 66 1 3 2 172 172 2 0 1 3 6 60 1 60 5 2 1 0 80.0 1 1
2 0 2 1 0 0 0 2 7 1 2 4 7 7 1 0 0 2 2 4 0 6 2 2 0 0 59.0 1 1
2 0 4 1 0 0 0 4 10 1 4 26 16 16 1 0 0 4 4 26 0 41 4 2 0 0 166.0 1 1
2 2 4 2 4 3 4 0 18 0 0 50 34 34 2 0 1 0 4 57 1 57 3 2 0 0 16.0 1 1
2 0 1 2 0 0 0 1 51 0 1 46 51 51 1 0 0 1 1 46 0 46 1 2 0 0 52.0 1 1
2 1 6 2 3 3 3 3 12 2 2 39 36 36 2 1 0 3 6 39 1 57 5 2 2 2 53.0 1 1
3 0 6 2 1 1 1 5 522 3 3 1 1057 1057 3 2 0 5 6 4 2 55 4 3 1 0 162.0 1 1
2 0 2 1 1 1 1 1 6 0 1 31 6 6 1 0 0 1 2 31 0 60 2 2 0 0 36.0 1 1
1 2 3 1 3 2 3 0 16 0 0 50 18 18 2 0 1 0 3 50 1 60 2 1 0 0 4.0 1 1
2 1 2 1 2 2 2 0 9 0 0 55 9 9 1 0 0 0 2 55 0 60 2 2 0 0 42.0 1 1
5 0 7 1 1 1 1 6 25 1 6 4 46 46 1 0 0 6 7 4 0 50 7 5 0 0 88.0 1 1
1 0 5 1 1 1 1 4 15 2 3 42 35 35 2 1 0 4 5 42 1 51 4 1 5 0 98.0 1 1
5 2 7 2 3 2 3 4 18 2 3 2 37 37 2 1 1 4 7 22 2 60 5 5 0 0 83.0 1 1
1 0 1 1 1 1 1 0 4 0 0 55 4 4 1 0 0 0 1 55 0 55 1 1 0 0 11.0 1 1
2 0 4 1 2 1 2 2 54 1 2 37 93 93 2 0 1 2 4 54 1 54 3 2 0 0 27.0 1 1
1 0 4 1 1 1 1 3 368 1 3 1 388 388 1 0 0 3 4 1 0 55 4 1 1 0 17.0 1 1
3 1 3 1 2 2 2 1 6 0 1 30 8 8 1 0 0 1 3 30 0 55 3 3 0 0 100.0 1 1
3 0 3 1 0 0 0 3 13 1 3 4 17 17 1 0 0 3 3 4 0 49 3 3 0 0 26.0 1 1
2 0 3 1 1 1 1 2 8 1 2 2 14 14 1 0 0 2 3 2 0 60 3 2 0 0 9.0 1 1
1 2 3 1 3 2 3 0 338 0 0 54 361 361 2 0 1 0 3 54 1 61 2 1 0 0 6.0 1 1
3 5 15 3 7 3 7 8 706 5 3 38 1136 1136 5 5 4 8 15 38 9 60 6 3 33 5 1007.0 1 1
1 0 1 1 1 1 1 0 0 0 0 50 0 0 1 0 0 0 1 50 0 50 1 1 0 0 53.0 1 1
2 3 20 2 4 2 4 16 10412 5 11 6 11832 11832 5 5 2 16 20 21 7 57 13 2 1 2 5207.0 1 1
1 1 2 1 2 2 2 0 16 0 0 50 16 16 1 0 0 0 2 50 0 52 2 1 0 0 357.0 1 1
2 0 5 1 1 1 1 4 44 2 3 6 76 76 2 1 0 4 5 16 1 54 4 2 0 0 13.0 1 1
1 0 1 1 1 1 1 0 1 0 0 50 1 1 1 0 0 0 1 50 0 50 1 1 0 0 87.0 1 1
2 0 5 1 1 1 1 4 94 2 3 6 148 148 2 1 0 4 5 16 1 54 4 2 0 0 40.0 1 1
2 0 3 2 3 1 3 0 112 0 0 54 112 112 3 0 2 0 3 54 2 54 1 2 0 0 100.0 1 1
1 1 2 1 2 2 2 0 74 0 0 50 74 74 1 0 0 0 2 50 0 60 2 1 0 0 13.0 1 1
1 0 1 1 1 1 1 0 0 0 0 54 0 0 1 0 0 0 1 54 0 54 1 1 0 0 21.0 1 1
2 0 2 1 0 0 0 2 10 1 2 40 10 10 1 0 0 2 2 40 0 44 2 2 0 0 9.0 1 1
3 0 25 2 4 1 10 15 20 8 4 31 66 66 8 11 9 21 25 48 20 57 5 3 0 0 14.0 1 1
6 2 9 3 5 4 5 4 723 2 3 32 1437 1437 2 1 1 4 9 46 2 60 7 6 0 0 431.0 1 1
1 0 1 1 0 0 0 1 0 0 1 36 0 0 1 0 0 1 1 36 0 36 1 1 0 0 16.0 1 1
10 0 36 5 4 1 10 26 566 8 14 2 1497 1497 8 12 9 32 36 48 21 58 15 10 13 7 2065.0 1 1
3 2 6 1 4 3 4 2 80 1 2 32 144 144 2 0 1 2 6 60 1 60 5 3 0 0 35.0 1 1
1 0 1 1 0 0 0 1 0 0 1 41 0 0 1 0 0 1 1 41 0 41 1 1 0 0 55.0 1 1
2 0 3 1 1 1 1 2 6 1 2 2 10 10 1 0 0 2 3 2 0 60 3 2 0 0 77.0 1 1
2 0 2 1 0 0 0 2 12 1 2 40 12 12 1 0 0 2 2 40 0 44 2 2 0 0 11.0 1 1
2 0 2 1 0 0 0 2 16 1 2 4 16 16 1 0 0 2 2 4 0 6 2 2 0 0 28.0 1 1
1 0 2 1 1 1 1 1 35 0 1 46 35 35 1 0 0 1 2 46 0 51 2 1 0 0 33.0 1 1
1 0 1 1 1 1 1 0 0 0 0 50 0 0 1 0 0 0 1 50 0 50 1 1 0 0 30.0 1 1
2 1 3 1 3 3 3 0 19 0 0 50 35 35 1 0 0 0 3 50 0 57 3 2 0 0 30.0 1 1
1 0 2 1 0 0 0 2 46 1 2 46 60 60 1 0 0 2 2 46 0 49 2 1 0 0 22.0 1 1
1 0 1 1 0 0 0 1 0 0 1 30 0 0 1 0 0 1 1 30 0 30 1 1 0 0 26.0 1 1
2 0 2 1 0 0 0 2 8 1 2 40 8 8 1 0 0 2 2 40 0 44 2 2 0 0 5.0 1 1
9 0 29 7 0 0 11 18 584 12 12 4 1068 1068 12 6 11 29 29 49 17 49 12 9 14 2 885.0 1 1
3 2 16 2 5 3 5 11 107 2 9 6 309 309 2 2 2 11 16 16 4 57 12 3 0 0 71.0 1 1
3 1 11 3 3 3 3 8 68 3 3 39 138 138 3 5 0 8 11 39 5 57 6 3 1 3 185.0 1 1
2 1 6 2 3 3 3 3 18 2 2 39 50 50 2 1 0 3 6 39 1 57 5 2 2 2 63.0 1 1
3 0 3 1 0 0 0 3 24 1 3 4 29 29 1 0 0 3 3 4 0 22 3 3 0 0 62.0 1 1
4 1 13 2 3 3 3 10 112 3 8 3 378 378 3 2 0 10 13 39 2 59 11 4 5 0 114.0 1 1
3 5 6 3 6 2 6 0 189 0 0 53 189 189 5 0 4 0 6 57 4 57 2 3 5 3 103.0 1 1
1 0 1 1 1 1 1 0 1 0 0 51 1 1 1 0 0 0 1 51 0 51 1 1 0 0 58.0 1 1
1 1 4 1 3 3 3 1 496 0 1 48 556 556 1 0 0 1 4 48 0 58 4 1 2 0 199.0 1 1
2 0 3 2 2 1 2 1 36 0 1 44 36 36 2 0 1 1 3 54 1 54 2 2 0 0 12.0 1 1
2 0 3 2 3 1 3 0 182 0 0 56 182 182 3 0 2 0 3 56 2 56 1 2 2 0 216.0 1 1
5 2 14 3 3 2 3 11 1646 5 6 1 2814 2814 5 5 1 11 14 1 6 54 8 5 4 1 552.0 1 1
2 1 5 2 2 2 3 2 157 2 2 46 164 164 2 0 1 3 5 49 1 57 4 2 1 0 128.0 1 1
2 1 4 1 2 2 2 2 7 1 2 32 19 19 1 0 0 2 4 32 0 60 4 2 0 0 20.0 1 1
3 0 5 2 1 1 1 4 540 2 3 1 1007 1007 2 1 0 4 5 4 1 55 4 3 1 0 163.0 1 1
4 0 5 1 1 1 1 4 32 1 4 2 53 53 1 0 0 4 5 2 0 60 5 4 0 0 194.0 1 1
1 0 4 1 0 0 0 4 127 0 1 46 127 127 4 3 0 4 4 46 3 46 1 1 0 0 91.0 1 1
2 1 7 1 2 2 2 5 75 2 4 6 183 183 2 1 0 5 7 16 1 57 6 2 0 0 35.0 1 1
2 0 2 1 0 0 0 2 5 1 2 4 5 5 1 0 0 2 2 4 0 6 2 2 0 0 3.0 1 1
3 1 7 2 2 2 2 5 22 1 5 3 68 68 1 0 0 5 7 3 0 59 7 3 3 0 12.0 1 1
2 2 8 1 3 2 3 5 35 1 5 1 113 113 2 0 1 5 8 50 1 53 7 2 1 0 88.0 1 1
3 2 10 1 4 2 4 6 390 2 5 6 629 629 2 1 2 6 10 16 3 56 7 3 0 1 131.0 1 1
2 2 4 2 3 2 3 1 61 0 1 44 107 107 2 0 1 1 4 53 1 56 3 2 1 0 126.0 1 1
4 1 6 1 2 2 2 4 31 1 4 4 72 72 1 0 0 4 6 4 0 58 6 4 3 0 134.0 1 1
2 0 3 2 0 0 0 3 41 1 3 41 42 42 1 0 0 3 3 41 0 48 3 2 0 0 39.0 1 1
1 0 3 1 2 1 2 1 22 0 1 46 22 22 2 0 1 1 3 50 1 50 2 1 2 0 16.0 1 1
1 0 1 1 1 1 1 0 0 0 0 50 0 0 1 0 0 0 1 50 0 50 1 1 0 0 21.0 1 1
1 0 1 1 1 1 1 0 132 0 0 53 132 132 1 0 0 0 1 53 0 53 1 1 1 0 40.0 1 1
1 0 4 1 4 1 4 0 199 0 0 55 199 199 4 0 3 0 4 55 3 55 1 1 0 0 273.0 1 1
1 0 1 1 1 1 1 0 0 0 0 50 0 0 1 0 0 0 1 50 0 50 1 1 0 0 12.0 1 1
3 1 3 2 3 3 3 0 11 0 0 55 22 22 1 0 0 0 3 55 0 59 3 3 0 1 63.0 1 1
3 0 3 1 0 0 0 3 28 1 3 4 33 33 1 0 0 3 3 4 0 18 3 3 0 0 8.0 1 1
5 0 6 1 1 1 1 5 50 1 5 4 80 80 1 0 0 5 6 4 0 55 6 5 0 0 73.0 1 1
2 0 2 1 0 0 0 2 5 1 2 4 5 5 1 0 0 2 2 4 0 6 2 2 0 0 7.0 1 1
1 0 1 1 0 0 0 1 0 0 1 49 0 0 1 0 0 1 1 49 0 49 1 1 0 0 23.0 1 1
3 2 4 1 3 2 3 1 80 0 1 45 107 107 2 0 1 1 4 53 1 61 3 3 3 0 166.0 1 1
1 0 2 1 1 1 1 1 16 0 1 42 16 16 1 0 0 1 2 42 0 58 2 1 5 0 57.0 1 1
2 0 4 1 0 0 0 4 15 2 3 38 19 19 2 1 0 4 4 38 1 48 3 2 0 0 7.0 1 1
3 0 3 1 1 1 1 2 10 1 2 4 15 15 1 0 0 2 3 4 0 55 3 3 0 0 40.0 1 1
10 1 16 4 3 3 3 13 808 3 9 2 1368 1368 3 4 0 13 16 26 4 60 12 10 1 3 395.0 1 1
1 1 2 1 2 2 2 0 22 0 0 52 22 22 1 0 0 0 2 52 0 61 2 1 0 0 8.0 1 1
3 0 24 2 0 0 5 19 514 9 11 4 1158 1158 9 8 5 24 24 46 13 46 11 3 11 1 764.0 1 1
3 0 3 1 1 1 1 2 47 1 2 4 51 51 1 0 0 2 3 4 0 50 3 3 0 0 64.0 1 1
5 0 5 1 1 1 1 4 26 1 4 4 37 37 1 0 0 4 5 4 0 51 5 5 1 0 30.0 1 1
5 0 30 3 5 1 7 23 3765 7 9 1 4975 4975 7 14 6 25 30 45 20 53 10 5 7 4 1231.0 1 1
1 0 1 1 1 1 1 0 14 0 0 50 14 14 1 0 0 0 1 50 0 50 1 1 0 0 37.0 1 1
1 3 5 1 4 2 4 1 17 0 1 46 19 19 3 0 2 1 5 53 2 59 3 1 1 0 219.0 1 1
4 2 9 3 3 2 5 4 67 3 4 42 157 157 3 0 3 6 9 49 3 57 6 4 2 1 129.0 1 1
1 0 1 1 1 1 1 0 0 0 0 50 0 0 1 0 0 0 1 50 0 50 1 1 0 0 84.0 1 1
1 0 2 1 0 0 1 1 3 0 1 49 3 3 2 0 1 2 2 49 1 49 1 1 0 0 12.0 1 1
3 1 3 2 3 3 3 0 18 0 0 50 40 40 1 0 0 0 3 50 0 57 3 3 0 0 34.0 1 1
3 0 5 2 1 1 1 4 310 2 3 1 350 350 2 1 0 4 5 4 1 55 4 3 1 0 68.0 1 1
