TotalPeopleInBurst MaximumCodeBurstLate NumberOfChanges MaxPeopleInBurst TotalBurstSizeLate NumberCodeBurstsLate NumberOfChangesLate NumberOfChangesEarly MaxChurnInBurst MaximumCodeBurstEarly NumberCodeBurstsEarly TimeFirstBurst TotalChurnInBurst ChurnTotal MaximumCodeBurst NumberOfConsecutiveChangesEarly NumberConsecutiveChangesLate TotalBurstSizeEarly TotalBurstSize TimeMaxBurst NumberConsecutiveChanges TimeLastBurst NumberCodeBursts PeopleTotal bugs GapSize BurstSize
0 0 4 0 0 0 1 3 0 0 0 -1 0 14 0 0 0 0 0 -1 0 -1 0 3 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 12 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 3 0 0 0 0 3 0 0 0 -1 0 17 0 0 0 0 0 -1 0 -1 0 2 0 3 3
1 0 6 1 0 0 0 6 63 0 1 32 63 128 4 3 0 4 4 32 3 32 1 1 0 3 3
0 0 3 0 0 0 2 1 0 0 0 -1 0 16 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 3 0 0 0 1 2 0 0 0 -1 0 45 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 4 0 0 0 3 1 0 0 0 -1 0 32 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 5 0 0 0 1 4 0 0 0 -1 0 218 0 1 0 0 0 -1 1 -1 0 2 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 1 0 3 3
3 0 7 3 0 0 1 6 188 0 1 41 188 339 3 3 1 3 3 41 4 41 1 4 1 3 3
0 0 5 0 0 0 1 4 0 0 0 -1 0 243 0 1 0 0 0 -1 1 -1 0 4 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 14 0 0 0 0 0 -1 0 -1 0 2 0 3 3
2 0 7 2 0 0 1 6 40 0 1 35 40 98 4 3 0 4 4 35 3 35 1 3 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 70 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 12 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 2 0 0 0 0 0 -1 0 -1 0 1 1 3 3
0 0 3 0 0 0 1 2 0 0 0 -1 0 26 0 0 0 0 0 -1 0 -1 0 3 0 3 3
0 0 6 0 0 0 1 5 0 0 0 -1 0 55 0 0 1 0 0 -1 1 -1 0 4 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 21 0 1 0 0 0 -1 1 -1 0 3 0 3 3
2 0 9 2 0 0 3 6 99 4 2 30 149 161 4 4 2 8 8 30 6 39 2 2 1 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 3 0 0 0 1 2 0 0 0 -1 0 15 0 0 1 0 0 -1 1 -1 0 2 0 3 3
0 0 3 0 0 0 1 2 0 0 0 -1 0 27 0 0 0 0 0 -1 0 -1 0 3 0 3 3
4 0 11 4 0 0 5 6 472 0 1 39 472 535 7 2 5 7 7 39 7 39 1 4 1 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 17 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 3 0 0 0 0 3 0 0 0 -1 0 18 0 0 0 0 0 -1 0 -1 0 3 0 3 3
2 0 15 2 0 0 5 10 1402 10 2 22 1440 1505 10 6 5 13 13 35 11 35 2 2 0 3 3
0 0 3 0 0 0 2 1 0 0 0 -1 0 20 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 3 0 0 0 2 1 0 0 0 -1 0 22 0 0 0 0 0 -1 0 -1 0 1 0 3 3
6 0 20 5 0 0 2 18 1505 8 2 10 1667 1800 8 14 2 16 16 10 16 33 2 7 2 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 3 0 0 0 0 3 0 0 0 -1 0 2480 0 1 0 0 0 -1 1 -1 0 1 0 3 3
0 0 6 0 0 0 0 6 0 0 0 -1 0 152 0 2 0 0 0 -1 2 -1 0 3 0 3 3
0 0 3 0 0 0 1 2 0 0 0 -1 0 40 0 0 0 0 0 -1 0 -1 0 3 0 3 3
2 0 6 2 0 0 0 6 486 0 1 32 486 486 5 4 0 5 5 32 4 32 1 2 0 3 3
2 0 4 2 0 0 0 4 33 0 1 31 33 70 3 2 0 3 3 31 2 31 1 2 0 3 3
0 0 4 0 0 0 1 3 0 0 0 -1 0 101 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 7 0 0 0 1 6 0 0 0 -1 0 227 0 2 0 0 0 -1 2 -1 0 2 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 6 0 0 0 0 0 -1 0 -1 0 1 0 3 3
3 0 3 3 0 0 0 3 15 0 1 35 15 15 3 2 0 3 3 35 2 35 1 3 0 3 3
0 0 3 0 0 0 2 1 0 0 0 -1 0 30 0 0 0 0 0 -1 0 -1 0 1 0 3 3
4 0 13 4 0 0 3 10 149 0 1 33 149 182 9 7 2 9 9 33 9 33 1 7 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 46 0 0 0 0 0 -1 0 -1 0 3 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 12 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 4 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 7 0 0 0 2 5 0 0 0 -1 0 221 0 1 1 0 0 -1 2 -1 0 3 1 3 3
0 0 3 0 0 0 1 2 0 0 0 -1 0 55 0 0 1 0 0 -1 1 -1 0 3 1 3 3
2 0 9 2 0 0 2 7 129 0 1 34 129 233 6 5 1 6 6 34 6 34 1 2 0 3 3
0 0 4 0 0 0 1 3 0 0 0 -1 0 170 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 3 0 0 0 2 1 0 0 0 -1 0 18 0 0 1 0 0 -1 1 -1 0 2 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 406 0 0 0 0 0 -1 0 -1 0 2 0 3 3
2 0 5 2 0 0 1 4 117 0 1 32 117 371 3 2 1 3 3 32 3 32 1 2 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 97 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 198 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 36 0 0 0 0 0 -1 0 -1 0 2 1 3 3
1 0 9 1 0 0 1 8 48 0 1 21 48 112 3 3 1 3 3 21 4 21 1 2 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 10 0 1 0 0 0 -1 1 -1 0 2 0 3 3
0 0 3 0 0 0 1 2 0 0 0 -1 0 12 0 0 0 0 0 -1 0 -1 0 3 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 26 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 15 0 1 0 0 0 -1 1 -1 0 2 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 58 0 1 0 0 0 -1 1 -1 0 3 0 3 3
0 0 4 0 0 0 1 3 0 0 0 -1 0 22 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 54 0 1 0 0 0 -1 1 -1 0 2 0 3 3
0 0 4 0 0 0 1 3 0 0 0 -1 0 56 0 0 0 0 0 -1 0 -1 0 3 0 3 3
2 0 10 2 0 0 3 7 203 3 2 33 306 857 3 3 1 6 6 33 4 40 2 3 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 11 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 6 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 214 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 12 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 21 0 2 0 0 0 -1 2 -1 0 3 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 14 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 3 0 1 0 0 0 -1 1 -1 0 2 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 5 0 0 0 1 4 0 0 0 -1 0 26 0 0 0 0 0 -1 0 -1 0 3 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
4 0 7 4 0 0 0 7 937 0 1 29 937 951 6 5 0 6 6 29 5 29 1 5 0 3 3
2 0 5 2 0 0 1 4 115 0 1 30 115 119 4 3 0 4 4 30 3 30 1 2 4 3 3
0 0 4 0 0 0 2 2 0 0 0 -1 0 54 0 0 0 0 0 -1 0 -1 0 2 0 3 3
2 0 6 2 0 0 2 4 44 0 1 40 44 62 3 1 1 3 3 40 2 40 1 2 0 3 3
0 0 5 0 0 0 1 4 0 0 0 -1 0 69 0 1 0 0 0 -1 1 -1 0 6 1 3 3
0 0 3 0 0 0 0 3 0 0 0 -1 0 8 0 1 0 0 0 -1 1 -1 0 2 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 16 0 1 0 0 0 -1 1 -1 0 3 0 3 3
0 0 4 0 0 0 1 3 0 0 0 -1 0 197 0 1 0 0 0 -1 1 -1 0 2 0 3 3
1 0 5 1 0 0 0 5 485 0 1 32 485 485 4 3 0 4 4 32 3 32 1 1 0 3 3
0 0 4 0 0 0 2 2 0 0 0 -1 0 16 0 0 0 0 0 -1 0 -1 0 4 0 3 3
0 0 4 0 0 0 1 3 0 0 0 -1 0 30 0 1 0 0 0 -1 1 -1 0 1 0 3 3
0 0 3 0 0 0 1 2 0 0 0 -1 0 14 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 4 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 14 0 1 0 0 0 -1 1 -1 0 1 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
3 0 11 3 0 0 1 10 110 0 1 32 110 150 6 6 0 6 6 32 6 32 1 4 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
2 0 4 2 0 0 0 4 43 0 1 35 43 43 3 2 0 3 3 35 2 35 1 2 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 18 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 20 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 39 0 0 0 0 0 -1 0 -1 0 2 0 3 3
2 0 14 2 0 0 8 6 286 0 1 30 286 286 14 5 8 14 14 30 13 30 1 2 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 2 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 3 0 0 0 0 3 0 0 0 -1 0 30 0 0 0 0 0 -1 0 -1 0 3 0 3 3
1 0 4 1 0 0 3 1 28 0 1 41 28 28 4 0 3 4 4 41 3 41 1 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 267 0 0 0 0 0 -1 0 -1 0 2 0 3 3
3 0 4 3 0 0 1 3 24 0 1 30 24 90 3 2 0 3 3 30 2 30 1 3 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 4 0 0 0 1 3 0 0 0 -1 0 44 0 0 0 0 0 -1 0 -1 0 4 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 22 0 0 0 0 0 -1 0 -1 0 4 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 273 0 1 0 0 0 -1 1 -1 0 3 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 6 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 4 0 0 0 2 2 0 0 0 -1 0 34 0 0 1 0 0 -1 1 -1 0 4 0 3 3
0 0 3 0 0 0 1 2 0 0 0 -1 0 24 0 0 0 0 0 -1 0 -1 0 3 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 12 0 1 0 0 0 -1 1 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 43 0 0 0 0 0 -1 0 -1 0 3 0 3 3
1 0 5 1 5 1 5 0 148 0 0 43 148 148 5 0 4 0 5 43 4 43 1 1 1 3 3
0 0 4 0 0 0 1 3 0 0 0 -1 0 25 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 4 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 3 0 0 0 1 2 0 0 0 -1 0 15 0 0 0 0 0 -1 0 -1 0 3 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 58 0 1 0 0 0 -1 1 -1 0 3 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 3 0 0 0 1 2 0 0 0 -1 0 22 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 3 0 0 0 2 1 0 0 0 -1 0 28 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 24 0 0 0 0 0 -1 0 -1 0 4 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 12 0 1 0 0 0 -1 1 -1 0 2 0 3 3
0 0 3 0 0 0 2 1 0 0 0 -1 0 38 0 0 0 0 0 -1 0 -1 0 1 0 3 3
2 0 4 2 3 1 3 1 43 0 0 43 43 47 3 0 2 0 3 43 2 43 1 2 0 3 3
0 0 5 0 0 0 1 4 0 0 0 -1 0 52 0 1 0 0 0 -1 1 -1 0 5 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 22 0 1 0 0 0 -1 1 -1 0 1 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 16 0 0 0 0 0 -1 0 -1 0 4 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
1 0 4 1 0 0 2 2 59 0 1 39 59 59 4 1 2 4 4 39 3 39 1 1 0 3 3
0 0 7 0 0 0 2 5 0 0 0 -1 0 115 0 0 0 0 0 -1 0 -1 0 4 2 3 3
5 0 6 5 0 0 0 6 56 0 1 34 56 72 5 4 0 5 5 34 4 34 1 5 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 6 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 3 0 0 0 2 1 0 0 0 -1 0 16 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 5 0 0 0 0 5 0 0 0 -1 0 52 0 1 0 0 0 -1 1 -1 0 2 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 5 0 0 0 0 5 0 0 0 -1 0 633 0 0 0 0 0 -1 0 -1 0 3 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 3 0 0 0 1 2 0 0 0 -1 0 25 0 1 0 0 0 -1 1 -1 0 1 0 3 3
0 0 5 0 0 0 1 4 0 0 0 -1 0 94 0 1 1 0 0 -1 2 -1 0 3 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 93 0 0 0 0 0 -1 0 -1 0 1 1 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 6 0 0 0 0 0 -1 0 -1 0 2 0 3 3
7 0 14 3 0 0 4 10 174 6 3 1 344 368 6 5 4 12 12 41 9 41 3 8 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 4 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 119 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 5 0 0 0 1 4 0 0 0 -1 0 55 0 1 0 0 0 -1 1 -1 0 3 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 325 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 31 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 3 0 0 0 1 2 0 0 0 -1 0 19 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 56 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 4 0 0 0 2 2 0 0 0 -1 0 20 0 0 1 0 0 -1 1 -1 0 3 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 82 0 1 0 0 0 -1 1 -1 0 2 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 66 0 1 0 0 0 -1 1 -1 0 2 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 212 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 33 0 0 0 0 0 -1 0 -1 0 2 0 3 3
2 0 7 2 0 0 2 5 145 0 1 6 145 169 3 2 1 3 3 6 3 6 1 4 1 3 3
0 0 4 0 0 0 1 3 0 0 0 -1 0 12 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 3 0 0 0 0 3 0 0 0 -1 0 16 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 39 0 1 0 0 0 -1 1 -1 0 2 0 3 3
0 0 5 0 0 0 2 3 0 0 0 -1 0 140 0 1 1 0 0 -1 2 -1 0 2 0 3 3
2 0 5 2 0 0 1 4 35 0 1 32 35 59 3 2 0 3 3 32 2 32 1 3 0 3 3
0 0 3 0 0 0 0 3 0 0 0 -1 0 143 0 0 0 0 0 -1 0 -1 0 3 0 3 3
0 0 5 0 0 0 1 4 0 0 0 -1 0 35 0 1 0 0 0 -1 1 -1 0 2 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 14 0 0 0 0 0 -1 0 -1 0 1 0 3 3
2 0 16 2 3 1 5 11 200 0 1 35 386 905 3 5 3 3 6 35 8 48 2 4 1 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 7 0 0 0 0 7 0 0 0 -1 0 1314 0 2 0 0 0 -1 2 -1 0 5 2 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 4 0 0 0 3 1 0 0 0 -1 0 17 0 0 1 0 0 -1 1 -1 0 2 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 4 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
2 0 7 2 0 0 0 7 454 0 1 28 454 841 3 3 0 3 3 28 3 28 1 4 0 3 3
0 0 4 0 0 0 0 4 0 0 0 -1 0 78 0 1 0 0 0 -1 1 -1 0 2 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 16 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
1 0 6 1 0 0 0 6 211 0 1 32 211 211 6 5 0 6 6 32 5 32 1 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 3 0 0 0 1 2 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 3 3
1 0 4 1 3 1 4 0 485 0 0 43 485 516 3 0 2 0 3 43 2 43 1 1 1 3 3
3 0 5 3 0 0 1 4 38 0 1 32 38 153 3 2 0 3 3 32 2 32 1 4 0 3 3
0 0 5 0 0 0 2 3 0 0 0 -1 0 91 0 1 0 0 0 -1 1 -1 0 3 1 3 3
0 0 3 0 0 0 0 3 0 0 0 -1 0 11 0 1 0 0 0 -1 1 -1 0 1 0 3 3
4 0 5 4 0 0 0 5 38 0 1 33 38 803 4 3 0 4 4 33 3 33 1 4 1 3 3
0 0 4 0 0 0 1 3 0 0 0 -1 0 57 0 1 0 0 0 -1 1 -1 0 3 0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 1 0 3 3
3 0 10 3 0 0 1 9 158 4 2 22 267 537 4 5 0 7 7 31 5 31 2 3 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 6 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
1 0 3 1 3 1 3 0 682 0 0 45 682 682 3 0 2 0 3 45 2 45 1 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 119 0 0 0 0 0 -1 0 -1 0 1 0 3 3
1 0 5 1 0 0 0 5 31 0 1 35 31 72 3 2 0 3 3 35 2 35 1 1 0 3 3
0 0 7 0 0 0 2 5 0 0 0 -1 0 83 0 1 1 0 0 -1 2 -1 0 5 1 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 4 0 0 0 2 2 0 0 0 -1 0 128 0 0 1 0 0 -1 1 -1 0 1 0 3 3
2 0 7 2 0 0 0 7 1313 0 1 31 1313 1313 7 6 0 7 7 31 6 31 1 2 0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 13 0 0 0 0 0 -1 0 -1 0 1 0 3 3
1 0 7 1 0 0 2 5 39 0 1 27 39 61 4 3 1 4 4 27 4 27 1 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 9 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 89 0 0 0 0 0 -1 0 -1 0 1 0 3 3
0 0 2 0 0 0 0 2 0 0 0 -1 0 12 0 0 0 0 0 -1 0 -1 0 2 0 3 3
0 0 3 0 0 0 0 3 0 0 0 -1 0 197 0 0 0 0 0 -1 0 -1 0 2 0 3 3
2 0 8 2 0 0 1 7 474 0 1 31 474 516 5 4 0 5 5 31 4 31 1 2 0 3 3
2 0 3 2 0 0 0 3 6 0 1 38 6 6 3 2 0 3 3 38 2 38 1 2 0 3 3
