Format:
Edge; Number of graphs this edge appears in
TotalBurstSizeEarly -> TimeFirstBurst; 3
TotalBurstSizeEarly -> NumberOfConsecutiveChangesEarly; 3
TotalBurstSizeEarly -> NumberCodeBursts; 3
NumberCodeBursts -> TotalPeopleInBurst; 3
MaximumCodeBurst -> MaxPeopleInBurst; 3
MaximumCodeBurst -> TotalBurstSizeEarly; 3
TimeMaxBurst -> TotalBurstSizeLate; 3
NumberCodeBurstsLate -> TimeLastBurst; 3
TotalPeopleInBurst -> TotalBurstSizeLate; 2
TotalPeopleInBurst -> NumberCodeBurstsLate; 2
MaximumCodeBurstLate -> TotalPeopleInBurst; 2
MaximumCodeBurstLate -> TotalBurstSizeLate; 2
TotalBurstSizeLate -> NumberConsecutiveChangesLate; 2
TotalBurstSizeLate -> TotalBurstSizeEarly; 2
NumberCodeBurstsLate -> TotalBurstSize; 2
TimeLastBurst -> TotalPeopleInBurst; 2
MaxPeopleInBurst -> NumberCodeBurstsEarly; 2
MaxPeopleInBurst -> TotalBurstSizeEarly; 2
MaxPeopleInBurst -> TotalBurstSize; 2
TotalBurstSizeLate -> NumberCodeBurstsEarly; 2
NumberConsecutiveChangesLate -> TimeFirstBurst; 2
NumberCodeBursts -> TotalBurstSize; 2
TotalBurstSizeLate -> MaximumCodeBurstEarly; 2
MaximumCodeBurst -> TotalBurstSizeLate; 2
MaximumCodeBurst -> TimeLastBurst; 2
MaximumCodeBurst -> TotalChurnInBurst; 2
TimeFirstBurst -> TimeLastBurst; 2
TotalBurstSizeEarly -> TotalBurstSize; 2
TotalBurstSize -> TotalPeopleInBurst; 2
NumberCodeBursts -> MaxPeopleInBurst; 2
MaxPeopleInBurst -> TotalBurstSizeLate; 2
NumberCodeBurstsLate -> NumberCodeBurstsEarly; 2
MaximumCodeBurstLate -> MaxPeopleInBurst; 1
TotalBurstSizeLate -> TimeFirstBurst; 1
TimeFirstBurst -> NumberConsecutiveChangesLate; 1
TimeFirstBurst -> TotalBurstSizeEarly; 1
TotalBurstSize -> NumberCodeBurstsEarly; 1
TimeLastBurst -> TimeFirstBurst; 1
MaximumCodeBurstLate -> TotalBurstSizeEarly; 1
TotalBurstSizeLate -> MaxPeopleInBurst; 1
NumberCodeBurstsLate -> MaxPeopleInBurst; 1
NumberCodeBurstsEarly -> TimeMaxBurst; 1
TimeLastBurst -> MaxPeopleInBurst; 1
TimeMaxBurst -> NumberCodeBurstsLate; 1
NumberCodeBurstsEarly -> MaxPeopleInBurst; 1
NumberOfChangesEarly -> NumberOfConsecutiveChangesEarly; 1
NumberOfChangesEarly -> NumberConsecutiveChanges; 1
MaxChurnInBurst -> MaximumCodeBurstEarly; 1
NumberCodeBurstsEarly -> NumberCodeBurstsLate; 1
NumberCodeBurstsEarly -> NumberOfChangesEarly; 1
NumberCodeBurstsEarly -> NumberConsecutiveChangesLate; 1
NumberCodeBurstsEarly -> NumberConsecutiveChanges; 1
TotalChurnInBurst -> MaximumCodeBurstEarly; 1
NumberOfConsecutiveChangesEarly -> MaximumCodeBurstEarly; 1
NumberOfConsecutiveChangesEarly -> TimeFirstBurst; 1
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChangesLate; 1
NumberConsecutiveChangesLate -> TotalBurstSize; 1
TotalBurstSizeEarly -> MaxPeopleInBurst; 1
TotalBurstSize -> TotalBurstSizeLate; 1
NumberConsecutiveChanges -> TotalChurnInBurst; 1
NumberConsecutiveChanges -> NumberConsecutiveChangesLate; 1
NumberCodeBursts -> TotalBurstSizeLate; 1
NumberCodeBursts -> NumberCodeBurstsLate; 1
NumberCodeBursts -> MaxChurnInBurst; 1
NumberCodeBursts -> TimeFirstBurst; 1
MaximumCodeBurstLate -> MaximumCodeBurstEarly; 1
MaxPeopleInBurst -> MaximumCodeBurstEarly; 1
MaxPeopleInBurst -> TimeFirstBurst; 1
MaximumCodeBurstEarly -> TotalBurstSizeEarly; 1
NumberOfConsecutiveChangesEarly -> NumberCodeBurstsEarly; 1
MaximumCodeBurstLate -> NumberCodeBursts; 1
TotalBurstSizeLate -> TotalPeopleInBurst; 1
NumberCodeBurstsLate -> TotalPeopleInBurst; 1
TotalBurstSizeEarly -> TimeMaxBurst; 1
MaxPeopleInBurst -> TimeLastBurst; 1
NumberCodeBursts -> TotalBurstSizeEarly; 1
