Format:
Edge; Number of graphs this edge appears in
BurstSize -> TotalPeopleInBurst; 1
TotalPeopleInBurst -> NumberCodeBurstsEarly; 1
TotalPeopleInBurst -> TotalBurstSizeEarly; 1
TotalBurstSizeLate -> TotalPeopleInBurst; 1
TotalBurstSizeLate -> TotalBurstSize; 1
NumberCodeBurstsLate -> TotalPeopleInBurst; 1
NumberCodeBurstsLate -> NumberOfChangesLate; 1
NumberCodeBurstsLate -> NumberOfConsecutiveChangesEarly; 1
NumberCodeBurstsLate -> TotalBurstSizeEarly; 1
NumberCodeBurstsLate -> TotalBurstSize; 1
NumberCodeBurstsLate -> NumberConsecutiveChanges; 1
NumberCodeBurstsLate -> BurstSize; 1
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChangesLate; 1
NumberConsecutiveChangesLate -> NumberOfChangesLate; 1
NumberConsecutiveChangesLate -> GapSize; 1
NumberConsecutiveChanges -> NumberConsecutiveChangesLate; 1
NumberCodeBursts -> NumberConsecutiveChangesLate; 1
GapSize -> NumberOfChangesLate; 1
NumberOfChangesLate -> MaximumCodeBurst; 1
NumberOfChangesEarly -> NumberCodeBurstsLate; 1
MaxChurnInBurst -> NumberConsecutiveChanges; 1
MaximumCodeBurst -> TotalBurstSizeLate; 1
MaximumCodeBurst -> TotalChurnInBurst; 1
TotalBurstSizeEarly -> NumberOfChanges; 1
TotalBurstSizeEarly -> NumberOfConsecutiveChangesEarly; 1
TotalPeopleInBurst -> MaximumCodeBurst; 1
TotalChurnInBurst -> NumberOfChangesLate; 1
TotalChurnInBurst -> NumberOfChangesEarly; 1
TotalChurnInBurst -> NumberOfConsecutiveChangesEarly; 1
TotalChurnInBurst -> NumberConsecutiveChanges; 1
ChurnTotal -> pre; 1
ChurnTotal -> BurstSize; 1
NumberCodeBursts -> ChurnTotal; 1
pre -> NumberOfChangesLate; 1
BurstSize -> NumberOfChangesLate; 1
BurstSize -> NumberOfChangesEarly; 1
BurstSize -> NumberOfConsecutiveChangesEarly; 1
NumberOfConsecutiveChangesEarly -> TLOC; 1
NumberConsecutiveChangesLate -> BurstSize; 1
NumberCodeBursts -> NumberOfChangesLate; 1
NumberCodeBursts -> NumberOfConsecutiveChangesEarly; 1
NumberCodeBursts -> NumberConsecutiveChanges; 1
NumberCodeBursts -> GapSize; 1
TLOC -> ChurnTotal; 1
BurstSize -> NumberCodeBurstsEarly; 1
MaximumCodeBurst -> NumberOfConsecutiveChangesEarly; 1
BurstSize -> NumberOfChanges; 1
TotalPeopleInBurst -> NumberCodeBurstsLate; 1
NumberOfConsecutiveChangesEarly -> NumberOfChanges; 1
NumberConsecutiveChangesLate -> TotalBurstSize; 1
BurstSize -> TotalBurstSize; 1
MaximumCodeBurstLate -> TotalPeopleInBurst; 1
MaximumCodeBurstLate -> NumberOfChangesLate; 1
MaximumCodeBurstLate -> NumberCodeBurstsEarly; 1
MaximumCodeBurstLate -> NumberConsecutiveChangesLate; 1
MaximumCodeBurstLate -> GapSize; 1
NumberCodeBurstsLate -> MaximumCodeBurst; 1
NumberCodeBurstsEarly -> NumberCodeBurstsLate; 1
TimeFirstBurst -> TotalBurstSizeEarly; 1
TimeFirstBurst -> BurstSize; 1
TotalChurnInBurst -> TotalBurstSizeEarly; 1
NumberOfConsecutiveChangesEarly -> TimeMaxBurst; 1
TotalBurstSizeEarly -> NumberCodeBurstsLate; 1
TimeMaxBurst -> TotalChurnInBurst; 1
TimeMaxBurst -> BurstSize; 1
NumberConsecutiveChanges -> TimeFirstBurst; 1
GapSize -> NumberConsecutiveChanges; 1
NumberOfChangesLate -> NumberOfDefects; 1
NumberOfChangesEarly -> NumberOfDefects; 1
NumberCodeBurstsEarly -> TotalChurnInBurst; 1
TotalChurnInBurst -> MaximumCodeBurst; 1
MaximumCodeBurst -> NumberCodeBurstsLate; 1
NumberConsecutiveChangesLate -> pre; 1
NumberOfChangesLate -> NumberOfChangesEarly; 1
TotalChurnInBurst -> TimeLastBurst; 1
NumberOfConsecutiveChangesEarly -> TotalBurstSizeEarly; 1
NumberOfConsecutiveChangesEarly -> TimeLastBurst; 1
NumberConsecutiveChangesLate -> NumberOfChanges; 1
NumberConsecutiveChangesLate -> MaximumCodeBurst; 1
NumberConsecutiveChangesLate -> TotalBurstSizeEarly; 1
NumberConsecutiveChanges -> PeopleTotal; 1
TimeLastBurst -> TimeMaxBurst; 1
NumberCodeBursts -> TotalBurstSizeLate; 1
PeopleTotal -> ChurnTotal; 1
GapSize -> NumberOfChanges; 1
